arrival_hydrophone,init_arrival_time
h6,18093.9864361111
h6,18093.986445023136
h6,18093.986454525453
h6,18093.98645809027
h6,18093.986465300914
h6,18093.98647003471
h6,18093.986474456007
h6,18093.986475335638
h6,18093.986841354155
h6,18093.986844282397
h6,18093.986847800916
h6,18093.986851527767
h6,18093.98685452545
h6,18093.986858703694
h6,18093.98686815971
h6,18093.986872291654
h6,18093.98687327545
h6,18093.98687812499
h6,18093.98688380786
h6,18093.98688556712
h6,18093.986888692118
h6,18093.98689105323
h6,18093.98689199073
h6,18093.986901041655
h6,18093.986903425914
h6,18093.986907025454
h6,18093.986917349524
h6,18093.98692613425
h6,18093.986930069434
h6,18093.986952349525
h6,18093.986957141195
h6,18093.98696028934
h6,18093.98698144675
h6,18093.986985127303
h6,18093.98699238425
h6,18093.986999791654
h6,18093.987003877304
h6,18093.987007256932
h6,18093.987021238416
h6,18093.987029340267
h6,18093.987032002304
h6,18093.987034317117
h6,18093.987038564803
h6,18093.987039502303
h6,18093.98704054397
h6,18093.99314810184
