depth,origin_time,swarm_number
308.25,2019-05-21T08:18:27.786000Z,1
310.0,2019-05-21T08:18:28.646000Z,1
310.0,2019-05-21T08:18:29.524000Z,1
308.25,2019-05-21T08:18:30.033000Z,1
307.375,2019-05-21T08:18:30.346500Z,1
308.25,2019-05-21T08:18:30.843000Z,1
308.25,2019-05-21T08:18:31.628000Z,1
310.0,2019-05-21T08:18:31.773000Z,1
309.125,2019-05-21T08:18:32.384500Z,1
310.0,2019-05-21T08:18:33.216000Z,1
310.875,2019-05-21T08:18:33.394500Z,1
310.875,2019-05-21T08:18:33.952500Z,1
309.125,2019-05-21T08:18:34.703500Z,1
310.875,2019-05-21T08:18:35.578500Z,1
311.75,2019-05-21T08:18:36.386000Z,1
313.5,2019-05-21T08:18:37.276000Z,1
310.0,2019-05-21T08:18:37.695000Z,1
303.0,2019-05-21T08:18:38.211000Z,1
728.25,2019-05-21T08:18:38.783000Z,1
310.0,2019-05-21T08:18:39.553000Z,1
309.125,2019-05-21T08:18:40.121500Z,1
310.875,2019-05-21T08:18:46.693500Z,1
315.25,2019-05-21T08:18:47.385000Z,1
310.875,2019-05-21T08:18:51.872500Z,1
314.375,2019-05-21T08:18:52.488500Z,1
310.875,2019-05-21T08:18:53.061500Z,1
309.125,2019-05-21T08:18:53.497500Z,1
312.625,2019-05-21T08:18:53.954500Z,1
314.375,2019-05-21T08:18:54.467500Z,1
308.25,2019-05-21T08:18:54.921000Z,1
305.625,2019-05-21T08:18:55.726500Z,1
310.875,2019-05-21T08:18:56.131500Z,1
310.0,2019-05-21T08:18:56.595000Z,1
731.75,2019-05-21T08:18:56.715000Z,1
728.25,2019-05-21T08:18:57.716000Z,1
299.5,2019-05-21T08:18:58.618000Z,1
311.75,2019-05-21T08:18:59.372000Z,1
311.75,2019-05-21T08:19:03.081000Z,1
317.0,2019-05-21T08:19:18.862000Z,1
313.5,2019-05-21T08:19:19.431000Z,1
309.125,2019-05-21T08:19:20.827500Z,1
310.875,2019-05-21T08:19:23.616500Z,1
313.5,2019-05-21T08:19:24.353000Z,1
310.875,2019-05-21T08:19:24.977500Z,1
310.875,2019-05-21T08:19:26.220500Z,1
313.5,2019-05-21T08:19:26.729000Z,1
309.125,2019-05-21T08:19:28.180500Z,1
313.5,2019-05-21T08:19:28.712000Z,1
310.875,2019-05-21T08:19:29.443500Z,1
312.625,2019-05-21T08:19:30.416500Z,1
747.5,2019-05-21T08:19:30.509000Z,1
319.625,2019-05-21T08:19:31.241500Z,1
728.25,2019-05-21T08:20:20.435000Z,1
315.25,2019-05-21T08:20:22.288000Z,1
316.125,2019-05-21T08:20:23.315500Z,1
728.25,2019-05-21T08:20:23.544000Z,1
316.125,2019-05-21T08:20:24.309500Z,1
310.875,2019-05-21T08:20:28.041500Z,1
317.0,2019-05-21T08:20:31.133000Z,1
317.0,2019-05-21T08:20:31.539000Z,1
317.0,2019-05-21T08:20:32.036000Z,1
317.0,2019-05-21T08:20:32.733000Z,1
936.5,2019-05-21T08:20:33.116000Z,1
315.25,2019-05-21T08:20:34.185000Z,1
728.25,2019-05-21T08:20:34.495000Z,1
317.0,2019-05-21T08:20:35.652000Z,1
317.0,2019-05-21T08:20:36.223000Z,1
310.0,2019-05-21T08:20:37.048000Z,1
317.875,2019-05-21T08:20:37.597500Z,1
317.0,2019-05-21T08:20:38.030000Z,1
